Date,Away Team,Home Team,Away Final Score,Home Final Score,Away Team ELO,Away Team avg. points scored,Away Team avg. points allowed,Away Team games played,Away Team games won,Away Team win rate,Home Team ELO,Home Team avg. points scored,Home Team avg. points allowed,Home Team games played,Home Team games won,Home Team win rate
20061101,Atlanta,Philadelphia,75,88,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Chicago,Orlando,94,109,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Houston,Utah,97,107,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Indiana,Charlotte,106,99,100,0,0,0,0,0,100,0,0,0,0,0
20061101,L.A. Clippers,Phoenix,104,112,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Milwaukee,Detroit,105,97,100,0,0,0,0,0,100,0,0,0,0,0
20061101,New Orleans,Boston,91,87,100,0,0,0,0,0,100,0,0,0,0,0
20061101,New York,Memphis,118,117,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Portland,Seattle,110,106,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Washington,Cleveland,94,97,100,0,0,0,0,0,100,0,0,0,0,0
20061101,Toronto,New Jersey,92,102,100,0,0,0,0,0,100,0,0,0,0,0
20061101,L.A. Lakers,Golden State,110,98,100,0,0,0,0,0,100,0,0,0,0,0
20061031,Chicago,Miami,108,66,95,94,109,1,0,0,100,0,0,0,0,0
20061031,Phoenix,L.A. Lakers,106,114,105,112,104,1,1,1,105,110,98,1,1,1
20061102,San Antonio,Dallas,97,91,100,0,0,0,0,0,100,0,0,0,0,0
20061102,Denver,L.A. Clippers,95,96,100,0,0,0,0,0,95,104,112,1,0,0
20061103,Charlotte,Memphis,83,96,95,99,106,1,0,0,95,117,118,1,0,0
20061103,Cleveland,San Antonio,88,81,105,97,94,1,1,1,105,97,91,1,1,1
20061103,Detroit,Boston,101,88,95,97,105,1,0,0,95,87,91,1,0,0
20061103,Milwaukee,Toronto,92,109,105,105,97,1,1,1,95,92,102,1,0,0
20061103,New Jersey,Miami,85,91,105,102,92,1,1,1,94.5,66,108,1,0,0
20061103,New Orleans,Indiana,100,91,105,91,87,1,1,1,105,106,99,1,1,1
20061103,Philadelphia,Orlando,105,103,105,88,75,1,1,1,105,109,94,1,1,1
20061103,Portland,Golden State,89,102,105,110,106,1,1,1,95,98,110,1,0,0
20061103,Seattle,L.A. Lakers,112,118,95,106,110,1,0,0,110,112,102,2,2,1
20061103,Utah,Phoenix,108,104,105,107,97,1,1,1,100,109,109,2,1,0.5
20061103,Minnesota,Denver,112,109,100,0,0,0,0,0,94.5,95,96,1,0,0
20061101,Sacramento,Minnesota,83,92,100,0,0,0,0,0,105,112,109,1,1,1
20061103,Sacramento,Chicago,89,88,95,83,92,1,0,0,100.5,101,87.5,2,1,0.5
20061103,New York,Atlanta,92,102,105,118,117,1,1,1,95,75,88,1,0,0
20061104,Boston,Washington,117,124,90,87.5,96,2,0,0,95,94,97,1,0,0
20061104,Cleveland,Charlotte,88,92,110,92.5,87.5,2,2,1,90,91,101,2,0,0
20061104,Dallas,Houston,76,107,95,91,97,1,0,0,95,97,107,1,0,0
20061104,Golden State,Utah,82,106,101,100,99.5,2,1,0.5,110,107.5,100.5,2,2,1
20061104,Indiana,New York,109,95,100,98.5,99.5,2,1,0.5,99,105,109.5,2,1,0.5
20061104,Memphis,Detroit,86,95,100,106.5,100.5,2,1,0.5,100,99,96.5,2,1,0.5
20061104,Minnesota,Portland,86,88,110,102,96,2,2,1,99,99.5,104,2,1,0.5
20061104,Phoenix,L.A. Clippers,108,114,95,107.3333333,108.6666667,3,1,0.333333333,100.5,100,103.5,2,1,0.5
20061104,Sacramento,Milwaukee,91,104,100.55,86,90,2,1,0.5,99,98.5,103,2,1,0.5
20061105,Miami,Philadelphia,98,107,100.55,78.5,96.5,2,1,0.5,110,96.5,89,2,2,1
20061105,Orlando,Atlanta,82,95,100,106,99.5,2,1,0.5,101,88.5,90,2,1,0.5
20061105,Houston,New Orleans,90,96,100,102,91.5,2,1,0.5,110,95.5,89,2,2,1
20061105,L.A. Lakers,Seattle,101,117,115,114,105.3333333,3,3,1,90,109,114,2,0,0
20061105,San Antonio,Toronto,103,94,100,89,89.5,2,1,0.5,101,100.5,97,2,1,0.5
20061106,Washington,Orlando,103,106,100,109,107,2,1,0.5,95,98,98,3,1,0.333333333
20061106,San Antonio,New York,105,93,105.1,93.66666667,91,3,2,0.666666667,94,101.6666667,109.3333333,3,1,0.333333333
20061106,Milwaukee,Chicago,85,110,104.155,100.3333333,99,3,2,0.666666667,94.95,96.66666667,88,3,1,0.333333333
20061106,Golden State,Dallas,107,104,96,94,101.6666667,3,1,0.333333333,90,83.5,102,2,0,0
20061106,Detroit,Utah,101,103,105,97.66666667,93,3,2,0.666666667,115,107,94.33333333,3,3,1
20061106,Minnesota,Sacramento,81,93,103.9,96.66666667,93.33333333,3,2,0.666666667,95.395,87.66666667,94.66666667,3,1,0.333333333
20061106,Portland,L.A. Clippers,89,102,105.1,95.66666667,98,3,2,0.666666667,105.5,104.6666667,105,3,2,0.666666667
20061107,Atlanta,Cleveland,104,95,106,90.66666667,87.33333333,3,2,0.666666667,103,91,89,3,2,0.666666667
20061107,Seattle,Miami,87,90,97.5,111.6666667,109.6666667,3,1,0.333333333,95.55,85,100,3,1,0.333333333
20061107,Houston,Memphis,86,80,95,98,93,3,1,0.333333333,95,99.66666667,98.66666667,3,1,0.333333333
20061107,Golden State,New Orleans,93,97,101,97.25,102.25,4,2,0.5,115,95.66666667,89.33333333,3,3,1
20061107,Minnesota,L.A. Lakers,88,95,98.0495,92.75,93.25,4,2,0.5,107.5,110.75,108.25,4,3,0.75
20061107,Philadelphia,Indiana,86,97,115,100,92,3,3,1,105,102,98,3,2,0.666666667
20061108,Philadelphia,Toronto,104,106,109,96.5,93.25,4,3,0.75,95.9,98.33333333,99,3,1,0.333333333
20061108,Indiana,Washington,91,117,111,100.75,95,4,3,0.75,94.5,107,106.6666667,3,1,0.333333333
20061108,Seattle,Orlando,87,88,92.305,105.5,104.75,4,1,0.25,100.5,100,99.25,4,2,0.5
20061108,Utah,New Jersey,89,96,120,106,96,4,4,1,98.95,93.5,91.5,2,1,0.5
20061108,Houston,Milwaukee,97,93,100,95,89.75,4,2,0.5,98.2345,96.5,101.75,4,2,0.5
20061108,L.A. Lakers,Portland,90,101,112.5,107.6,104.2,5,4,0.8,100.1,94,99,4,2,0.5
20061108,Dallas,L.A. Clippers,85,103,85,90.33333333,103.6666667,3,0,0,110.5,104,101,4,3,0.75
20061108,Detroit,Sacramento,86,99,100,98.5,95.5,4,2,0.5,101.2455,89,91.25,4,2,0.5
20061108,New York,Denver,109,107,89,99.5,108.25,4,1,0.25,89.5,102,104,2,0,0
20061108,Charlotte,Boston,108,110,97,91.33333333,96.66666667,3,1,0.333333333,85,97.33333333,105.3333333,3,0,0
20061108,Phoenix,San Antonio,106,111,90,107.5,110,4,1,0.25,110.1,96.5,91.5,4,3,0.75
20061109,Chicago,Cleveland,94,113,100.8705,100,87.25,4,2,0.5,98,92,92.75,4,2,0.5
20061109,Dallas,Phoenix,119,112,80,89,103.5,4,0,0,85,107.2,110.2,5,1,0.2
20061109,New Orleans,Golden State,116,121,120,96,90.25,4,4,1,96,96.4,101.2,5,2,0.4
20061110,Denver,Philadelphia,108,101,84.45,103.6666667,105.6666667,3,0,0,102.69,98,95.8,5,3,0.6
20061110,Milwaukee,Washington,111,116,93.2345,95.8,100.8,5,2,0.4,101.15,109.5,102.75,4,2,0.5
20061110,Seattle,Charlotte,99,85,87.305,101.8,101.4,5,1,0.2,90.8,95.5,100,4,1,0.25
20061110,Orlando,Indiana,83,93,105.5,97.6,96.8,5,3,0.6,104.35,98.8,99.4,5,3,0.6
20061110,Utah,Boston,107,100,112.895,102.6,96,5,4,0.8,91.2,100.5,106,4,1,0.25
20061110,New York,Houston,94,103,94.05,101.4,108,5,2,0.4,105,95.4,90.4,5,3,0.6
20061110,Detroit,L.A. Lakers,97,83,95,96,96.2,5,2,0.4,106.26,104.6666667,103.6666667,6,4,0.666666667
20061110,Atlanta,Toronto,111,102,111,94,89.25,4,3,0.75,102.21,100.25,100.25,4,2,0.5
20061110,Miami,New Jersey,113,106,100.745,86.25,96.75,4,2,0.5,106.055,94.33333333,90.66666667,3,2,0.666666667
20061110,New Orleans,Portland,91,92,112.6,100,96.4,5,4,0.8,106.34,95.4,97.2,5,3,0.6
20061111,Boston,Cleveland,93,94,86.2,100.4,106.2,5,1,0.2,103.28705,96.2,93,5,3,0.6
20061111,Detroit,Golden State,79,111,101.126,96.16666667,94,6,3,0.5,103.4,100.5,103.6666667,6,3,0.5
20061111,Indiana,Chicago,80,89,109.465,97.83333333,96.66666667,6,4,0.666666667,95.58345,98.8,92.4,5,2,0.4
20061111,New York,San Antonio,92,100,89.05,100.1666667,107.1666667,6,2,0.333333333,115.1,99.4,94.4,5,4,0.8
20061111,Orlando,Minnesota,109,98,100.385,95.16666667,96.16666667,6,3,0.5,93.0495,91.8,93.6,5,2,0.4
20061111,Seattle,Atlanta,113,112,92.6545,101.3333333,98.66666667,6,2,0.333333333,116,97.4,91.8,5,4,0.8
20061111,Utah,Milwaukee,113,111,117.895,103.3333333,96.66666667,6,5,0.833333333,88.2345,98.33333333,103.3333333,6,2,0.333333333
20061111,Memphis,Phoenix,87,96,90,94.75,95.5,4,1,0.25,79.5,108,111.6666667,6,1,0.166666667
20061112,New Orleans,L.A. Clippers,76,92,106.974,98.5,95.66666667,6,4,0.666666667,115.5,103.8,97.8,5,4,0.8
20061112,New Jersey,Washington,105,93,100.524,97.25,96.25,4,2,0.5,106.15,110.8,104.4,5,3,0.6
20061112,Denver,Charlotte,108,101,91.274,104.75,104.5,4,1,0.25,85.4505,93.4,99.8,5,1,0.2
20061112,Houston,Miami,94,72,110,96.66666667,91,6,4,0.666666667,106.276,91.6,98.6,5,3,0.6
20061112,Toronto,Sacramento,92,107,97.21,100.6,102.4,5,2,0.4,106.2455,91,90.2,5,3,0.6
20061112,Dallas,Portland,103,96,85.5,95,105.2,5,1,0.2,111.966,94.83333333,96.16666667,6,4,0.666666667
20061112,Memphis,L.A. Lakers,81,91,83.95,93.2,95.6,5,1,0.2,100.134,101.5714286,102.7142857,7,4,0.571428571
20061113,Orlando,Boston,92,89,105.385,97.14285714,96.42857143,7,4,0.571428571,81.2,99.16666667,104.1666667,6,1,0.166666667
20061113,Seattle,New Jersey,119,113,99.98905,103,100.5714286,7,3,0.428571429,106.0866,98.8,95.6,5,3,0.6
20061113,Cleveland,New York,102,96,108.28705,95.83333333,93,6,4,0.666666667,84.05,99,106.1428571,7,2,0.285714286
20061114,Milwaukee,Atlanta,103,101,83.2345,100.1428571,104.7142857,7,2,0.285714286,108.66545,99.83333333,95.33333333,6,4,0.666666667
20061114,Denver,Miami,112,105,96.274,105.4,103.8,5,2,0.4,101.276,88.33333333,97.83333333,6,3,0.5
20061114,Charlotte,New Orleans,85,94,80.4505,94.66666667,101.1666667,6,1,0.166666667,101.974,95.28571429,95.14285714,7,4,0.571428571
20061114,Portland,Minnesota,89,101,104.3194,95,97.14285714,7,4,0.571428571,88.0495,92.83333333,96.16666667,6,2,0.333333333
20061114,San Antonio,Houston,92,84,120.1,99.5,94,6,5,0.833333333,115,96.28571429,88.28571429,7,5,0.714285714
20061114,Chicago,Dallas,99,111,101.971605,97.16666667,90.33333333,6,3,0.5,93.1466,96.33333333,103.6666667,6,2,0.333333333
20061114,Toronto,Golden State,99,110,92.21,99.16666667,103.1666667,6,2,0.333333333,108.4,102,100.1428571,7,4,0.571428571
20061114,L.A. Clippers,Utah,90,112,120.5,101.8333333,94.16666667,6,5,0.833333333,122.895,104.7142857,98.71428571,7,6,0.857142857
20061115,Denver,Orlando,99,108,101.7742,106.5,104,6,3,0.5,110.385,96.5,95.5,8,5,0.625
20061115,Portland,Cleveland,87,100,97.69241,94.25,97.625,8,4,0.5,113.28705,96.71428571,93.42857143,7,5,0.714285714
20061115,Indiana,Boston,88,114,103.076845,95.28571429,95.57142857,7,4,0.571428571,76.2,97.71428571,102.4285714,7,1,0.142857143
20061115,Milwaukee,New Jersey,87,100,90.777595,100.5,104.25,8,3,0.375,100.476845,101.1666667,99.5,6,3,0.5
20061115,Washington,New York,82,102,100.5874,107.8333333,104.5,6,3,0.5,79.05,98.625,105.625,8,2,0.25
20061115,New Orleans,Detroit,100,99,106.974,95.125,93.875,8,5,0.625,96.126,93.71428571,96.42857143,7,3,0.428571429
20061115,Charlotte,San Antonio,95,92,75.4505,93.28571429,100.1428571,7,1,0.142857143,125.1,98.42857143,92.57142857,7,6,0.857142857
20061115,Philadelphia,Seattle,96,90,95.866,98.5,97.83333333,6,3,0.5,105.598805,105,102.125,8,4,0.5
20061116,Chicago,Houston,100,101,96.0891045,97.42857143,93.28571429,7,3,0.428571429,110,94.75,88.75,8,5,0.625
20061116,Sacramento,Golden State,105,113,111.2455,93.66666667,90.5,6,4,0.666666667,113.4,103,100,8,5,0.625
20061115,Memphis,Sacramento,111,115,78.95,91.16666667,94.83333333,6,1,0.166666667,106.2455,95.28571429,93.71428571,7,4,0.571428571
20061117,New Jersey,Indiana,100,91,105.476845,101,97.71428571,7,4,0.571428571,95.3891605,94.375,97.875,8,4,0.5
20061117,Portland,Boston,90,118,92.69241,93.44444444,97.88888889,9,4,0.444444444,83.8876845,99.75,100.625,8,2,0.25
20061117,New York,Miami,100,76,86.20374,99,103,9,3,0.333333333,95.7758,90.71428571,99.85714286,7,3,0.428571429
20061117,Minnesota,Cleveland,76,92,94.67649,94,95.14285714,7,3,0.428571429,118.28705,97.125,92.625,8,6,0.75
20061117,Washington,Detroit,91,100,93.43366,104.1428571,104.1428571,7,3,0.428571429,91.126,94.375,96.875,8,3,0.375
20061117,Dallas,Memphis,115,103,99.0291005,98.42857143,103,7,3,0.428571429,73.95,94,97.71428571,7,1,0.142857143
20061117,Chicago,San Antonio,83,100,91.0891045,97.75,94.25,8,3,0.375,115.13505,97.625,92.875,8,6,0.75
20061117,Philadelphia,Phoenix,94,106,101.8392805,98.14285714,96.71428571,7,4,0.571428571,85.55,106.2857143,108.1428571,7,2,0.285714286
20061118,Boston,New York,122,118,89.76815705,101.7777778,99.44444444,9,3,0.333333333,92.160946,99.1,100.3,10,4,0.4
20061118,Charlotte,Orlando,83,97,85.41545,93.5,99.125,8,2,0.25,115.385,97.77777778,95.88888889,9,6,0.666666667
20061118,Cleveland,Washington,99,111,123.28705,96.55555556,90.77777778,9,7,0.777777778,88.202894,102.5,103.625,8,3,0.375
20061118,Houston,Detroit,92,104,115,95.44444444,90,9,6,0.666666667,96.356766,95,96.22222222,9,4,0.444444444
20061118,Indiana,Milwaukee,102,100,90.3891605,94,98.11111111,9,4,0.444444444,85.777595,99,103.7777778,9,3,0.333333333
20061118,Memphis,Dallas,84,89,68.95,95.125,99.875,8,1,0.125,104.0291005,100.5,103,8,4,0.5
20061118,Miami,Atlanta,93,88,89.818594,88.875,99.875,8,3,0.375,101.122355,100,96.42857143,7,4,0.571428571
20061118,Philadelphia,L.A. Clippers,97,103,95.21035245,97.625,97.875,8,4,0.5,115.5,100.1428571,96.71428571,7,5,0.714285714
20061118,Phoenix,Utah,117,120,92.17892805,106.25,106.375,8,3,0.375,127.895,105.625,97.625,8,7,0.875
20061118,Seattle,Golden State,95,107,99.6255245,103.3333333,101.4444444,9,4,0.444444444,118.4,104.1111111,100.5555556,9,6,0.666666667
20061118,Toronto,Denver,109,117,87.21,99.14285714,104.1428571,7,2,0.285714286,96.7742,105.4285714,104.5714286,7,3,0.428571429
20061119,San Antonio,Sacramento,108,99,120.13505,97.88888889,91.77777778,9,7,0.777777778,111.2455,97.75,95.875,8,5,0.625
20061120,Dallas,Charlotte,93,85,109.0291005,99.22222222,100.8888889,9,5,0.555555556,80.41545,92.33333333,98.88888889,9,2,0.222222222
20061120,Houston,New York,97,90,108.1356766,95.1,91.4,10,6,0.6,86.92166711,100.8181818,102.2727273,11,4,0.363636364
20061120,Orlando,Memphis,86,95,120.385,97.7,94.6,10,7,0.7,63.95,93.88888889,98.66666667,9,1,0.111111111
20061120,Phoenix,Golden State,113,110,87.17892805,107.4444444,107.8888889,9,3,0.333333333,123.4,104.4,100,10,7,0.7
20061120,Toronto,Utah,96,101,82.21,100.375,105.75,8,2,0.25,132.895,107.2222222,99.77777778,9,8,0.888888889
20061121,Detroit,Philadelphia,97,87,103.2210894,95.9,95.8,10,5,0.5,90.21035245,97.55555556,98.44444444,9,4,0.444444444
20061121,Memphis,Cleveland,94,97,74.5935,94,97.4,10,2,0.2,114.7786344,96.8,92.8,10,7,0.7
20061121,Milwaukee,Indiana,88,93,80.777595,99.1,103.6,10,3,0.3,95.3891605,94.8,98.3,10,5,0.5
20061121,Washington,Dallas,80,107,96.7113096,103.4444444,103.1111111,9,4,0.444444444,114.0291005,98.6,99.3,10,6,0.6
20061122,Atlanta,Detroit,98,103,94.9919789,98.5,96,8,4,0.5,108.2210894,96,95,11,6,0.545454545
20061122,Boston,Charlotte,83,92,95.00743595,103.8,101.3,10,4,0.4,75.41545,91.6,98.3,10,2,0.2
20061122,Cleveland,Toronto,87,95,119.7786344,96.81818182,92.90909091,11,8,0.727272727,77.21,99.88888889,105.2222222,9,2,0.222222222
20061122,Denver,Golden State,115,112,101.7742,106.875,105.125,8,4,0.5,114.7778928,104.9090909,101.1818182,11,7,0.636363636
20061122,Indiana,Orlando,91,96,100.3891605,94.63636364,97.36363636,11,6,0.545454545,109.7415,96.63636364,94.63636364,11,7,0.636363636
20061122,New York,Minnesota,89,107,81.92166711,99.91666667,101.8333333,12,4,0.333333333,89.67649,91.75,94.75,8,3,0.375
20061122,Philadelphia,Milwaukee,94,98,85.21035245,96.5,98.3,10,4,0.4,75.777595,98.09090909,102.6363636,11,3,0.272727273
20061122,Seattle,L.A. Clippers,95,85,94.6255245,102.5,102,10,4,0.4,120.5,100.5,96.75,8,6,0.75
20061122,Utah,Sacramento,110,101,137.895,106.6,99.4,10,9,0.9,106.2455,97.88888889,97.22222222,9,5,0.555555556
20061124,Charlotte,Detroit,95,104,82.37464859,91.63636364,96.90909091,11,3,0.272727273,113.2210894,96.58333333,95.25,12,7,0.583333333
20061124,Cleveland,Indiana,87,97,110.521771,96,93.08333333,12,8,0.666666667,95.3891605,94.33333333,97.25,12,6,0.5
20061124,Golden State,Denver,129,140,108.4775235,105.5,102.3333333,12,7,0.583333333,108.0745693,107.7777778,105.8888889,9,5,0.555555556
20061124,New York,Boston,101,77,76.92166711,99.07692308,102.2307692,13,4,0.307692308,88.04823735,101.9090909,100.4545455,11,4,0.363636364
20061124,Orlando,Miami,107,104,114.7415,96.58333333,94.33333333,12,8,0.666666667,95.9489701,89.33333333,98.55555556,9,4,0.444444444
20061124,Sacramento,Seattle,109,100,101.2455,98.2,98.5,10,5,0.5,102.212972,101.8181818,100.4545455,11,5,0.454545455
20061124,Toronto,Atlanta,95,97,86.46686344,99.4,103.4,10,3,0.3,89.9919789,98.44444444,96.77777778,9,4,0.444444444
20061117,Utah,Seattle,118,109,142.895,106.9090909,99.54545455,11,10,0.909090909,97.11622484,101.6666667,101.1666667,12,5,0.416666667
20061117,Toronto,L.A. Lakers,100,107,81.46686344,99,102.8181818,11,3,0.272727273,105.134,100.25,100,8,5,0.625
20061118,Portland,New Jersey,86,68,86.81193745,93.1,99.9,10,4,0.4,110.476845,100.875,96.875,8,5,0.625
20061119,Chicago,L.A. Lakers,72,82,86.0891045,96.11111111,94.88888889,9,3,0.333333333,110.134,101,100,9,6,0.666666667
20061120,New Jersey,Seattle,87,99,103.1103542,97.22222222,95.66666667,9,5,0.555555556,92.11622484,102.2307692,102.4615385,13,5,0.384615385
20061120,San Antonio,Portland,107,98,125.13505,98.9,92.5,10,8,0.8,94.17842821,92.45454545,97,11,5,0.454545455
20061121,Chicago,Denver,109,113,81.0891045,93.7,93.6,10,3,0.3,113.1148647,111,108.2,10,6,0.6
20061121,L.A. Clippers,L.A. Lakers,101,105,112.9125524,98.77777778,96.55555556,9,6,0.666666667,115.134,99.1,97.2,10,7,0.7
20061122,Miami,San Antonio,86,106,90.9489701,90.8,99.4,10,4,0.4,130.13505,99.63636364,93,11,9,0.818181818
20061122,New Jersey,Portland,97,100,97.0109413,96.2,96,10,5,0.5,89.17842821,92.91666667,97.83333333,12,5,0.416666667
20061122,Washington,Houston,82,86,91.7113096,101.1,103.5,10,4,0.4,113.1356766,95.27272727,91.27272727,11,7,0.636363636
20061124,Chicago,Philadelphia,108,123,76.0891045,95.09090909,95.36363636,11,3,0.272727273,79.26707671,96.27272727,98.27272727,11,4,0.363636364
20061124,Dallas,San Antonio,95,92,119.0291005,99.36363636,97.54545455,11,7,0.636363636,135.13505,100.1666667,92.41666667,12,10,0.833333333
20061124,L.A. Lakers,Utah,108,114,120.134,99.63636364,97.54545455,11,8,0.727272727,147.895,107.8333333,100.3333333,12,11,0.916666667
20061124,New Jersey,Phoenix,93,99,91.22768999,96.27272727,96.36363636,11,5,0.454545455,95.80103525,108,108.1,10,4,0.4
20061124,Washington,Memphis,80,95,86.7113096,99.36363636,101.9090909,11,4,0.363636364,69.5935,94,97.36363636,11,2,0.181818182
20061118,New Orleans,Minnesota,99,96,111.974,95.66666667,94.44444444,9,6,0.666666667,94.67649,93.44444444,94.11111111,9,4,0.444444444
20061121,Miami,New Orleans,86,101,85.9489701,90.36363636,100,11,4,0.363636364,116.974,96,94.6,10,7,0.7
20061122,New Orleans,Phoenix,83,92,121.974,96.45454545,93.81818182,11,8,0.727272727,100.8010352,107.1818182,106.7272727,11,5,0.454545455
20061124,Minnesota,New Orleans,86,79,89.67649,93.7,94.6,10,4,0.4,114.8567035,95.33333333,93.66666667,12,8,0.666666667
20061125,Atlanta,Orlando,79,98,94.9919789,98.3,96.6,10,5,0.5,119.7415,97.38461538,95.07692308,13,9,0.692307692
20061125,Boston,Milwaukee,111,98,81.93558033,99.83333333,100.5,12,4,0.333333333,81.72087074,98.08333333,101.9166667,12,4,0.333333333
20061125,Detroit,Washington,115,111,118.2210894,97.15384615,95.23076923,13,8,0.615384615,79.99952864,97.75,101.3333333,12,4,0.333333333
20061125,Memphis,Houston,76,85,76.30528096,94.08333333,95.91666667,12,3,0.25,118.1356766,94.5,90.5,12,8,0.666666667
20061125,Miami,Charlotte,102,93,80.9489701,90,100.0833333,12,4,0.333333333,77.37464859,91.91666667,97.5,12,3,0.25
20061125,Philadelphia,Cleveland,95,108,84.26707671,98.5,99.08333333,12,5,0.416666667,104.0085099,95.30769231,93.38461538,13,8,0.615384615
20061125,Portland,Sacramento,85,105,94.96167952,93.46153846,97.76923077,13,6,0.461538462,106.3422472,99.18181818,98.63636364,11,6,0.545454545
20061125,Utah,Golden State,78,91,152.895,108.3076923,100.9230769,13,12,0.923076923,103.4372281,107.3076923,105.2307692,13,7,0.538461538
20061126,Indiana,Toronto,83,92,101.9024215,94.53846154,96.46153846,13,7,0.538461538,76.46686344,99.08333333,103.1666667,12,3,0.25
20061126,L.A. Clippers,Denver,88,103,107.9125524,99,97.4,10,6,0.6,118.1148647,111.1818182,108.2727273,11,7,0.636363636
20061126,New Jersey,L.A. Lakers,93,99,86.22768999,96,96.58333333,12,5,0.416666667,115.134,100.3333333,98.91666667,12,8,0.666666667
20061126,Phoenix,Portland,119,101,107.9183317,105.9166667,104.75,12,6,0.5,89.96167952,92.85714286,98.28571429,14,6,0.428571429
20061126,San Antonio,Seattle,98,78,128.524455,99.53846154,92.61538462,13,10,0.769230769,98.21563778,102,101.3571429,14,6,0.428571429
20061125,L.A. Clippers,Minnesota,96,104,102.9125524,98,97.90909091,11,6,0.545454545,97.19451135,93,93.18181818,11,5,0.454545455
20061125,Chicago,New York,106,95,71.0891045,96.16666667,97.66666667,12,3,0.25,83.03432413,99.21428571,100.4285714,14,5,0.357142857
20061125,New Orleans,Dallas,73,85,107.3386822,94.07692308,93.07692308,13,8,0.615384615,125.6396954,99,97.08333333,12,8,0.666666667
20061127,Minnesota,Dallas,87,93,102.7663155,93.91666667,93.41666667,12,6,0.5,130.6396954,97.92307692,95.23076923,13,9,0.692307692
20061127,Orlando,Utah,88,75,124.7415,97.42857143,93.92857143,14,10,0.714285714,142.9492228,106.1428571,100.2142857,14,12,0.857142857
20061127,Philadelphia,Miami,91,103,79.26707671,98.23076923,99.76923077,13,5,0.384615385,85.9489701,90.92307692,99.53846154,13,5,0.384615385
20061127,San Antonio,Golden State,102,111,133.524455,99.42857143,91.57142857,14,11,0.785714286,113.3830053,106.1428571,103.2857143,14,8,0.571428571
20061128,Atlanta,Washington,95,96,89.9919789,96.54545455,96.72727273,11,5,0.454545455,74.99952864,98.76923077,102.3846154,13,4,0.307692308
20061128,Charlotte,New Jersey,96,92,72.37464859,92,97.84615385,13,3,0.230769231,81.22768999,95.76923077,96.76923077,13,5,0.384615385
20061128,Indiana,Portland,105,97,94.35886574,93.71428571,96.14285714,14,7,0.5,84.96167952,93.4,99.66666667,15,6,0.4
20061128,L.A. Clippers,Sacramento,80,93,97.34074834,97.83333333,98.41666667,12,6,0.5,111.3422472,99.66666667,97.5,12,7,0.583333333
20061128,Memphis,Denver,108,96,71.30528096,92.69230769,95.07692308,13,3,0.230769231,123.1148647,110.5,106.5833333,12,8,0.666666667
20061128,Milwaukee,L.A. Lakers,109,105,76.72087074,98.07692308,102.6153846,13,4,0.307692308,120.134,100.2307692,98.46153846,13,9,0.692307692
