Date,Away Team,Home Team,Away Final Score,Home Final Score,Away Team ELO,Away Team avg. points scored,Away Team avg. points allowed,Away Team games played,Away Team games won,Away Team win rate,Away Team home court points scored,Away Team home court points allowed,Away Team home court games played,Away Team home court win rate,Away Team possessions,Away Team defensive rebounds,Away Team offensive rebounds,Home Team ELO,Home Team avg. points scored,Home Team avg. points allowed,Home Team games played,Home Team games won,Home Team win rate,Home Team home court points scored,Home Team home court points allowed,Home Team home court games played,Home Team home court win rate,Home Team possessions,Home Team defensive rebounds,Home Team offensive rebounds
20081028,Cleveland,Boston,85,90,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081028,Milwaukee,Chicago,95,108,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081028,Portland,L.A. Lakers,76,96,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Atlanta,Orlando,99,85,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Denver,Utah,94,98,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Indiana,Detroit,94,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,L.A. Lakers,L.A. Clippers,117,79,105,96,76,1,1,1,96,76,1,1,81,38,7,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Memphis,Houston,71,82,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Miami,New York,115,120,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Milwaukee,Oklahoma City,98,87,95,95,108,1,0,0,0,0,0,0,82,16,16,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,New Jersey,Washington,95,85,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,New Orleans,Golden State,108,103,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Phoenix,San Antonio,103,98,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Sacramento,Minnesota,96,98,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081029,Toronto,Philadelphia,95,84,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20081030,Charlotte,Cleveland,79,96,100,0,0,0,0,0,0,0,0,0,0,0,0,95,85,90,1,0,0,0,0,0,0,84,30,10
